TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1515627512359,108.8125,100,56
-1,112.0625,95,80
-1,115.3125,100,64
-1,118.5,561,40
-1,121.75,568,56
-1,125.375,594,48
-1,128.625,1,40
-1,132.5625,637,48
-1,136.1875,1,40
-1,139.4375,759,64
-1,142.6875,747,48
-1,146.25,755,80
-1,149.5,1,24
-1,153.125,564,24
-1,156.75,779,32
-1,160,708,48
-1,163.5625,713,48
-1,166.8125,713,40
-1,170.4375,167,64
-1,173.6875,640,32
-1,176.875,1,40
-1,180.5,1,32
-1,183.75,431,48
-1,187,289,64
-1,190.625,277,80
-1,193.8125,242,80
-1,197.4375,258,80
-1,201.0625,1,16
-1,204.3125,65,72
-1,207.875,53,72
-1,211.125,59,72
-1,214.75,54,80
-1,218,60,80
-1,221.5625,57,80
-1,224.8125,58,80
-1,228.4375,57,80
-1,231.6875,56,80
-1,235.3125,58,80
-1,238.5,59,80
-1,242.125,56,80
-1,245.375,54,80
-1,249,63,80
-1,252.25,64,72
-1,255.8125,57,72
-1,259.0625,61,72
-1,262.6875,57,72
-1,266.25,69,72
-1,269.5,284,40
-1,273.125,369,80
-1,276.375,359,64
-1,280,318,56
-1,283.1875,271,32
-1,286.8125,196,48
-1,290.4375,79,56
-1,293.6875,79,80
-1,297.25,74,80
-1,300.5,78,80
-1,304.125,89,80
-1,307.375,84,64
-1,310.9375,63,72
-1,314.1875,65,72
-1,317.4375,66,64
-1,321.0625,55,64
-1,324.3125,64,72
-1,327.875,58,72
-1,331.5,129,32
-1,334.75,330,48
-1,338,1,32
-1,341.5625,50,32
-1,344.8125,1,16
-1,348.4375,488,56
-1,351.6875,1,40
-1,355.3125,447,72
-1,358.875,445,80
1515627512416,2.875,426,40
-1,6.125,456,40
-1,9.6875,1,40
-1,12.9375,221,88
-1,16.1875,210,88
-1,19.4375,227,80
-1,23.0625,532,40
-1,26.625,1,16
-1,29.875,6747,16
-1,33.125,493,32
-1,36.75,571,32
-1,40,583,48
-1,43.5625,1,48
-1,47.1875,1,32
-1,50.4375,527,56
-1,54,1,16
-1,57.25,547,64
-1,60.875,536,48
-1,64.125,1,24
-1,67.6875,526,40
-1,70.9375,106,48
-1,74.5625,95,72
-1,78.5,102,64
-1,82.125,473,56
-1,85.375,474,56
-1,89,492,72
-1,92.25,496,64
-1,95.4375,478,40
-1,98.6875,478,72
-1,101.9375,486,72
-1,105.1875,491,64
-1,108.8125,100,56
-1,112.375,99,72
-1,115.625,104,56
-1,119.25,556,40
-1,122.5,556,48
-1,126.125,578,48
-1,129.3125,1,32
-1,132.9375,614,56
-1,136.1875,1,40
-1,139.4375,776,64
-1,143.0625,725,40
-1,146.25,782,72
-1,149.875,781,32
-1,153.125,1,16
-1,157.0625,766,56
