TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
1515534628922,323.625,79,80
-1,326.8125,469,40
-1,330.375,1,40
-1,333.875,14,48
-1,337.4375,34,64
-1,340.625,39,64
-1,343.75,52,64
-1,347.3125,34,48
-1,350.4375,50,72
-1,354,59,80
-1,357.125,67,80
1515534628930,1.0625,67,80
-1,4.25,1,48
-1,7.75,488,72
-1,11,1,24
-1,14.1875,1,32
-1,17.375,1,24
-1,20.5625,1,32
-1,23.75,107,80
-1,27.3125,99,88
-1,30.5,103,80
-1,34.0625,101,88
-1,37.25,1,24
-1,40.8125,33,64
-1,44,35,80
-1,47.1875,28,72
-1,50.75,33,80
-1,53.9375,33,80
-1,57.4375,37,80
-1,60.6875,37,80
-1,64.1875,37,72
-1,67.75,42,80
-1,70.875,40,80
-1,74.375,37,72
-1,77.5,34,80
-1,80.625,44,64
-1,83.8125,43,64
-1,87.25,59,48
-1,90.4375,1,32
-1,94,63,80
-1,97.1875,55,72
-1,100.75,63,80
-1,103.9375,59,80
-1,107.5,54,72
-1,111.0625,15,48
-1,114.1875,48,56
-1,117.3125,52,72
-1,121.1875,34,72
-1,124.3125,47,64
-1,127.4375,50,72
-1,130.625,1,48
-1,134.125,40,56
-1,137.3125,23,56
-1,140.5,49,56
-1,144.0625,37,48
-1,147.25,37,56
-1,150.8125,332,24
-1,154,299,72
-1,157.25,1,16
-1,160.875,1,16
-1,164.125,1,24
-1,167.6875,1,32
-1,170.9375,1,24
-1,174.5625,1,24
-1,177.8125,1,24
-1,181.25,1,48
-1,184.4375,18,56
-1,187.5625,50,72
-1,190.6875,51,48
-1,193.8125,37,64
-1,197,200,80
-1,200.5,202,80
-1,203.6875,200,80
-1,207.25,203,80
-1,210.4375,209,80
-1,214,225,64
-1,217.1875,234,80
-1,220.75,230,72
-1,224.25,1,48
-1,227.4375,1,32
-1,230.6875,210,88
-1,234.1875,215,88
-1,237.375,225,88
-1,240.9375,227,88
-1,244.125,241,88
-1,247.6875,252,88
-1,250.875,260,88
-1,254.4375,279,80
-1,257.625,287,56
-1,261.1875,1,24
-1,264.375,1,24
-1,267.875,1,40
-1,271.375,19,32
-1,274.5,1,40
-1,277.625,1,24
-1,281.125,1,40
-1,284.25,71,56
-1,287.8125,74,80
-1,291.375,70,80
-1,294.5625,69,80
-1,298.0625,70,80
-1,301.3125,70,80
-1,304.8125,71,80
-1,308,73,80
-1,311.25,72,88
-1,314.75,74,80
-1,317.9375,77,80
-1,321.5,82,80
-1,324.6875,73,64
-1,328.25,1,32
-1,331.4375,58,32
-1,334.9375,39,56
-1,338.125,29,64
-1,341.3125,53,72
-1,344.5,40,56
-1,348,37,56
-1,351.1875,62,80
-1,354.6875,63,80
-1,357.875,64,80
1515534629034,1.75,74,72
-1,4.9375,1,40
-1,8.125,517,48
-1,11.6875,1,24
-1,14.875,1,40
-1,18.4375,1,24
-1,21.625,116,48
-1,25.1875,102,88
-1,28.375,101,88
-1,31.5625,107,88
-1,35.125,101,88
-1,38.3125,68,72
-1,41.875,39,72
-1,45.375,34,80
-1,48.5625,25,64
-1,51.8125,37,80
-1,55.3125,25,72
-1,58.5,38,80
-1,62.0625,34,80
-1,65.25,37,64
-1,68.75,44,96
-1,71.9375,52,80
-1,75.375,43,72
-1,78.5625,49,64
-1,82.0625,43,72
-1,85.1875,1,32
-1,88.6875,48,64
-1,91.875,67,64
-1,95.4375,60,80
-1,98.625,54,72
-1,102.1875,55,80
-1,105.375,54,72
-1,108.9375,58,72
-1,112.8125,84,32
-1,115.9375,59,56
-1,119.0625,50,72
-1,122.5625,45,64
-1,125.6875,38,72
-1,129.1875,64,64
-1,133.0625,48,40
-1,136.25,32,56
-1,139.4375,33,64
-1,143,29,40
-1,146.1875,42,48
-1,149.75,17,64
-1,152.9375,303,72
-1,156.5,307,56
-1,159.75,1,24
-1,163.375,1,24
-1,166.625,1,24
-1,170.25,1,32
-1,173.5,1,32
-1,177.0625,1,40
-1,180.25,54,56
-1,183.375,33,56
-1,186.875,61,40
-1,190,47,40
-1,193.5,38,32
-1,196.625,1,32
-1,200.125,201,88
-1,203.3125,201,72
-1,206.5,204,80
-1,209.75,205,80
-1,213.25,219,72
-1,216.4375,227,72
-1,220,237,80
-1,223.9375,1,48
-1,227.125,211,40
-1,230.3125,210,80
-1,233.5,215,88
-1,237.0625,223,88
-1,240.25,225,88
-1,243.4375,235,88
-1,246.625,242,88
-1,250.1875,255,80
-1,253.375,269,88
-1,256.9375,288,88
-1,260.125,1,24
-1,263.6875,1,16
-1,266.8125,1,24
-1,270.3125,1,40
-1,273.4375,9219,32
-1,276.625,1,24
-1,280.0625,49,56
-1,283.25,1,64
-1,286.75,68,80
-1,289.9375,67,80
-1,293.5,66,80
-1,296.6875,65,80
-1,300.1875,68,80
-1,303.4375,72,80
-1,306.9375,71,80
-1,310.5,71,80
-1,313.6875,73,80
-1,316.875,73,72
-1,320.4375,80,80
-1,323.625,86,72
-1,327.1875,474,40
-1,330.375,1,40
-1,333.875,42,56
-1,337.0625,37,64
-1,340.25,33,64
-1,343.75,33,72
-1,347.3125,51,56
-1,350.4375,53,72
-1,353.625,62,88
-1,357.125,61,80
1515534629133,1.0625,65,80
-1,4.25,1,32
-1,7.4375,498,40
-1,10.625,1,32
-1,14.1875,1,24
-1,17.375,1,24
-1,20.5625,1,40
-1,24.125,97,72
-1,27.3125,98,88
-1,30.875,103,72
-1,34.0625,102,88
-1,37.5625,1,32
-1,40.8125,50,64
-1,44.3125,37,88
-1,47.875,33,64
-1,51.0625,39,80
-1,54.25,25,80
-1,57.4375,37,80
-1,60.6875,42,72
-1,63.875,34,72
-1,67,48,80
-1,70.1875,40,80
-1,73.6875,37,72
-1,76.8125,38,72
-1,80.3125,50,64
-1,83.4375,47,72
-1,86.5625,71,32
-1,89.75,50,56
-1,93.3125,64,80
-1,96.5,58,72
-1,100.0625,60,80
-1,103.9375,61,80
-1,107.125,59,72
-1,110.3125,53,40
-1,113.8125,40,56
-1,117,50,56
-1,120.4375,48,72
-1,123.9375,50,64
-1,127.125,50,80
-1,130.625,1,64
-1,134.125,38,56
-1,137.6875,33,64
-1,140.875,35,56
-1,144.4375,48,48
-1,147.625,40,48
-1,151.1875,315,48
-1,154.375,300,80
-1,157.9375,1,16
-1,161.1875,1,32
-1,164.8125,1,24
-1,168.0625,1,24
-1,171.6875,1,24
-1,174.9375,1,24
-1,177.8125,1,40
-1,181.25,1,48
-1,184.4375,44,56
-1,187.875,40,40
-1,191.0625,44,48
-1,194.5,7,48
-1,197.6875,193,64
-1,201.5625,203,88
-1,204.75,200,88
-1,207.9375,198,88
-1,211.5,213,88
-1,214.6875,220,72
-1,217.875,229,80
-1,221.4375,240,64
-1,224.625,200,32
-1,228.1875,1,32
-1,231.375,213,88
-1,234.9375,217,88
-1,238.125,224,88
-1,241.3125,230,88
-1,244.5,240,88
-1,247.6875,251,88
-1,250.875,257,88
-1,254.4375,277,80
-1,257.625,297,40
-1,260.8125,1,24
-1,264,1,32
-1,267.875,1,32
-1,271.375,1,32
-1,274.5,1570,32
-1,277.625,1,32
-1,281.125,73,64
-1,284.25,63,64
-1,287.8125,71,72
-1,291,64,80
-1,294.5625,67,80
-1,297.75,65,80
-1,301.3125,68,80
-1,304.5,66,80
-1,307.6875,68,80
-1,311.25,70,72
-1,314.4375,72,72
-1,317.9375,73,80
-1,321.1875,76,80
-1,324.6875,73,56
-1,327.875,1,24
-1,331.4375,37,32
-1,334.625,38,64
-1,338.125,38,72
-1,341.3125,35,64
-1,344.8125,24,56
-1,348,57,48
-1,351.5,63,80
-1,354.6875,64,80
-1,357.875,64,80
1515534629235,1.75,60,32
-1,4.9375,1,40
-1,8.125,515,48
-1,11.3125,1,24
-1,14.5,1,24
-1,17.6875,1,24
-1,20.9375,1,48
-1,24.4375,103,72
-1,28,102,88
-1,31.1875,109,80
-1,34.375,103,88
-1,37.5625,1,24
-1,40.8125,45,56
-1,44,34,80
-1,47.1875,33,72
-1,50.75,38,72
-1,53.9375,33,72
